t,predMSE
0,1.4733785738547607e-17
1,1.4653934685295413e-17
2,2.2876038201502524e-05
3,2.55773284152383e-05
4,4.143624391872436e-05
5,6.558172754012048e-05
6,7.699001434957609e-05
7,0.00010633331839926541
8,0.00012348189193289727
9,0.0001623493735678494
10,0.00018847481987904757
11,0.00022084183001425117
12,0.0002336328470846638
13,0.0002564716851338744
14,0.0002845294657163322
15,0.00029556918889284134
16,0.0003076869179494679
17,0.0003221775114070624
18,0.0003584624791983515
19,0.000400830089347437
20,0.0004084681277163327
21,0.0004149077576585114
22,0.00046280829701572657
23,0.00048566199257038534
24,0.0004968654247932136
25,0.0004897265462204814
26,0.0005064760916866362
27,0.0005212697433307767
28,0.0005273856222629547
29,0.0005454579368233681
30,0.0005547571345232427
31,0.0005732103600166738
32,0.0006175966118462384
33,0.0006092201801948249
34,0.00063372275326401
35,0.0006377164390869439
36,0.0006840306450612843
37,0.0007359695737250149
38,0.000723703415133059
39,0.0008040997781790793
40,0.0007679742411710322
41,0.0007999765803106129
42,0.0007913734880276024
43,0.000795927713625133
44,0.0008057268569245934
45,0.000845111848320812
46,0.000882185937371105
47,0.0008807666599750519
48,0.0009032061789184809
49,0.0009403073927387595
50,0.0009525774512439966
51,0.0009158990578725934
52,0.0009565340005792677
53,0.0009166348027065396
54,0.0008973174844868481
55,0.0009225012036040425
56,0.0009316485375165939
57,0.0009719642694108188
58,0.0009970039827749133
59,0.0010233052307739854
60,0.0010414395947009325
61,0.001038254122249782
62,0.0010849336395040154
63,0.0010829963721334934
64,0.0010930165881291032
65,0.0010861547198146582
66,0.001096701598726213
67,0.0010564984986558557
68,0.00105246901512146
69,0.0010490479180589318
70,0.0010148488217964768
71,0.0010286513715982437
72,0.001005420577712357
73,0.0010097193298861384
74,0.0009763621492311358
75,0.0009982386836782098
76,0.0009412659564986825
77,0.000974469818174839
78,0.0009195298189297318
79,0.000934563169721514
80,0.0009624652448110282
81,0.0009733368060551584
82,0.0009889013599604368
83,0.0009845478925853968
84,0.0010107215493917465
85,0.0009975673165172338
86,0.0010275898966938257
87,0.0010536310728639364
88,0.0010787246283143759
89,0.0011041976977139711
90,0.0011564923916012049
91,0.0011684473138302565
92,0.001182718900963664
93,0.0012272323947399855
94,0.001229572924785316
95,0.001241592806763947
96,0.0012232495937496424
97,0.00124899682123214
98,0.0012187475804239511
99,0.001216139760799706
100,0.0012803621357306838
101,0.0012128317030146718
102,0.0013068360276520252
103,0.001264056540094316
104,0.0012647414114326239
105,0.0012836834648624063
106,0.001302974415011704
107,0.0013482995564118028
108,0.0013652876950800419
109,0.001358916750177741
110,0.0013935454189777374
111,0.0013891535345464945
112,0.0014292903942987323
113,0.0014266247162595391
114,0.0014063509879633784
115,0.0013886234955862164
116,0.0013751782244071364
117,0.0013348306529223919
118,0.0013262777356430888
119,0.0012931954115629196
120,0.0012580546317622066
121,0.0012283122632652521
122,0.0012507004430517554
123,0.0011986081954091787
124,0.0012705600820481777
125,0.0012348111486062407
126,0.0012463025050237775
127,0.0012925846967846155
128,0.0012926639756187797
129,0.001299389055930078
130,0.0013298833509907126
131,0.0013378243893384933
132,0.0013813833938911557
133,0.0013819944579154253
134,0.0014545227168127894
135,0.001488712732680142
136,0.001485972898080945
137,0.0014967587776482105
138,0.0015225757379084826
139,0.00149388681165874
140,0.0015332663897424936
141,0.0015240306966006756
142,0.0015807071467861533
143,0.0015159077011048794
144,0.0015244565438479185
145,0.0016172982286661863
146,0.0015784684801474214
147,0.0016333553940057755
148,0.0016227687010541558
149,0.001670629484578967
150,0.0016699987463653088
151,0.0017337407916784286
152,0.0017601406434550881
153,0.0017973894719034433
154,0.001739608938805759
155,0.0017505090218037367
156,0.0017900678794831038
157,0.0018618658650666475
158,0.001875398214906454
159,0.001880308729596436
160,0.0018878799164667726
161,0.0018573648994788527
162,0.0018577956361696124
163,0.0018008792540058494
164,0.001793843461200595
165,0.0016948952106758952
166,0.0016988504212349653
167,0.001615516492165625
168,0.0015877231489866972
169,0.0015559799503535032
170,0.0015454499516636133
171,0.0015535254497081041
172,0.0015464029274880886
173,0.001562753226608038
174,0.0016033893916755915
175,0.0017192293889820576
176,0.0016716051613911986
177,0.0017419710056856275
178,0.0016992563614621758
179,0.0017295636935159564
180,0.0017433256143704057
181,0.00175412034150213
182,0.0017442514654248953
183,0.0017779878107830882
184,0.0017547720344737172
185,0.0017743631033226848
186,0.0017906923312693834
187,0.0017509545432403684
188,0.0017983602592721581
189,0.0018009560881182551
190,0.0018111307872459292
191,0.0018280998338013887
192,0.001848451909609139
193,0.0018895093817263842
194,0.001930691534653306
195,0.0019051552517339587
196,0.0019970638677477837
197,0.0020526633597910404
198,0.002066332846879959
199,0.002106765750795603
200,0.002119639655575156
201,0.002192420419305563
202,0.0022211407776921988
203,0.0022768874187022448
204,0.002305372152477503
205,0.002325108740478754
206,0.002314447658136487
207,0.002298014936968684
208,0.002232635160908103
209,0.002224314259365201
210,0.0021205947268754244
211,0.0020605146419256926
212,0.002025145571678877
213,0.0019827531650662422
214,0.0019129187567159534
215,0.001950895763002336
216,0.001905673649162054
217,0.0019245573785156012
218,0.0019492193823680282
219,0.0019581702072173357
220,0.0019967209082096815
221,0.002006891882047057
222,0.002034068340435624
223,0.0020732528064399958
224,0.0021034893579781055
225,0.002150516491383314
226,0.0020982054993510246
227,0.0021336895879358053
228,0.002127672079950571
229,0.002146253129467368
230,0.0021666930988430977
231,0.002170725492760539
232,0.0021769071463495493
233,0.002197095425799489
234,0.002225732896476984
235,0.002152728848159313
236,0.00219391449354589
237,0.0022092934232205153
238,0.0022194094490259886
239,0.0022785214241594076
240,0.0022789936047047377
241,0.0023588400799781084
242,0.0023519520182162523
243,0.002439861185848713
244,0.0024718432687222958
245,0.00251159374602139
246,0.002532519167289138
247,0.0026146748568862677
248,0.002679437166079879
249,0.0027007684111595154
250,0.002754389075562358
251,0.002777661429718137
252,0.0028152712620794773
253,0.0028260343242436647
254,0.0028357815463095903
255,0.0028012485709041357
256,0.002745947800576687
257,0.0026838374324142933
258,0.0026663693133741617
259,0.002517745830118656
260,0.0025115490425378084
261,0.0024612494744360447
262,0.002461276249960065
263,0.002464334713295102
264,0.0024888450279831886
265,0.0025358800776302814
266,0.002543601207435131
267,0.0025857058353722095
268,0.0025966831017285585
269,0.0026185461319983006
270,0.0026548432651907206
271,0.002677514683455229
272,0.002689112676307559
273,0.0027513657696545124
274,0.002774850931018591
275,0.002785029588267207
276,0.002806685632094741
277,0.0028296741656959057
278,0.0028543586377054453
279,0.0028393748216331005
280,0.0028155127074569464
281,0.0027827336452901363
282,0.0027861245907843113
283,0.002801057882606983
284,0.002772000851109624
285,0.0028301647398620844
286,0.002849124139174819
287,0.002936373697593808
288,0.0029475607443600893
289,0.0030335825867950916
290,0.0030833547934889793
291,0.0031483029015362263
292,0.0032161548733711243
293,0.00326742185279727
294,0.0033109039068222046
295,0.003369186306372285
296,0.0034306419547647238
297,0.0034539110492914915
298,0.0035756530705839396
299,0.0035636581014841795
300,0.0036804834380745888
301,0.0036425895523279905
302,0.0035647714976221323
303,0.0034977158065885305
304,0.003408343531191349
305,0.003332932945340872
306,0.003224023152142763
307,0.0031388243660330772
308,0.0030892270151525736
309,0.003102934220805764
310,0.0030786492861807346
311,0.0031360196880996227
312,0.0031762896105647087
313,0.0032402584329247475
314,0.003245911095291376
315,0.0032794203143566847
316,0.00330912321805954
317,0.0033223750069737434
318,0.0033599406015127897
319,0.003369625424966216
320,0.0033932020887732506
321,0.0033559880685061216
322,0.0033860711846500635
323,0.0033816618379205465
324,0.003416640218347311
325,0.0034103230573236942
326,0.0034559553023427725
327,0.003402282949537039
328,0.00337605201639235
329,0.003349418519064784
330,0.0033549389336258173
331,0.0033261815551668406
332,0.0033576013520359993
333,0.003392578102648258
334,0.0034457731526345015
335,0.003526645712554455
336,0.0035605935845524073
337,0.003665926633402705
338,0.003746113507077098
339,0.003897405229508877
340,0.003905357327312231
341,0.003912913613021374
342,0.004003157373517752
343,0.0040022702887654305
344,0.004074511583894491
345,0.004118216689676046
346,0.004105626605451107
347,0.0041159591637551785
348,0.004142926540225744
349,0.004051357973366976
350,0.0040359641425311565
351,0.003963525407016277
352,0.0038796355947852135
353,0.0037830600049346685
354,0.0036886371672153473
355,0.0036372088361531496
356,0.003577618161216378
357,0.003648600075393915
358,0.003670492209494114
359,0.0037237030919641256
360,0.003812715644016862
361,0.003814002266153693
362,0.003897027811035514
363,0.003922567702829838
364,0.003983031027019024
365,0.004014268051832914
366,0.004038448445498943
367,0.004056431353092194
368,0.004087296314537525
369,0.004096488934010267
370,0.004089743364602327
371,0.004099557641893625
372,0.004105748608708382
373,0.004048164002597332
374,0.0040772585198283195
375,0.004049005452543497
376,0.004013106692582369
377,0.004014964681118727
378,0.004016803111881018
379,0.0040888129733502865
380,0.004157968331128359
381,0.004196544643491507
382,0.004322303459048271
383,0.004407068714499474
384,0.0045304917730391026
385,0.004525734577327967
386,0.004696407355368137
387,0.004747348837554455
388,0.0047958167269825935
389,0.004868796560913324
390,0.004918923135846853
391,0.004917616955935955
392,0.005000688135623932
393,0.005046257749199867
394,0.0050463299266994
395,0.005085798911750317
396,0.0050379144959151745
397,0.004985478240996599
398,0.004831905476748943
399,0.004725044127553701
400,0.0046067386865615845
401,0.0045449393801391125
402,0.004476780537515879
403,0.004496545996516943
404,0.004510953091084957
405,0.004530611913651228
406,0.004570757504552603
407,0.004580720327794552
408,0.004609773866832256
409,0.004651731811463833
410,0.0047339037992060184
411,0.004709795117378235
412,0.004791355226188898
413,0.004806570243090391
414,0.004856772720813751
415,0.00484441826120019
416,0.004859220702201128
417,0.004870162811130285
418,0.004878010135143995
419,0.004828751552850008
420,0.004785909317433834
421,0.004747549071907997
422,0.004687183070927858
423,0.00461713457480073
424,0.004672400653362274
425,0.004652947653084993
426,0.0047273095697164536
427,0.004738836083561182
428,0.004836635198444128
429,0.004887181334197521
430,0.005009750369936228
431,0.005060895811766386
432,0.005166336894035339
433,0.005259274039417505
434,0.00534088583663106
435,0.005397734232246876
436,0.005478436127305031
437,0.005571586079895496
438,0.005616684909909964
439,0.00564232375472784
440,0.005615564063191414
441,0.005644367076456547
442,0.005592426285147667
443,0.0055987597443163395
444,0.0054956646636128426
445,0.005446833558380604
446,0.005256022792309523
447,0.005217157769948244
448,0.005068806000053883
449,0.005056049209088087
450,0.0049973782151937485
451,0.005025683436542749
452,0.005116632208228111
453,0.005204744637012482
454,0.005215054377913475
455,0.005281984806060791
456,0.005367607343941927
457,0.0054784053936600685
458,0.005474410485476255
459,0.005583040416240692
460,0.00556333689019084
461,0.0056307679042220116
462,0.0055596549063920975
463,0.005583516322076321
464,0.005597548093646765
465,0.0055708978325128555
466,0.005551207344979048
467,0.005537751596421003
468,0.0054934024810791016
469,0.005436183884739876
470,0.005464871879667044
471,0.005361479241400957
472,0.005382319446653128
473,0.005426399409770966
474,0.0055664642713963985
475,0.0055592418648302555
476,0.005725041963160038
477,0.005863985512405634
478,0.005936373956501484
479,0.006072008982300758
480,0.0061510587111115456
481,0.0062516722828149796
482,0.006330400239676237
483,0.006405321881175041
484,0.006523260846734047
485,0.006512362044304609
486,0.006558415479958057
487,0.006566950120031834
488,0.006542093586176634
489,0.0064889295026659966
490,0.006445355713367462
491,0.006333123426884413
492,0.006225025746971369
493,0.006086438894271851
494,0.005987479817122221
495,0.0058874692767858505
496,0.0058065918274223804
497,0.00582196144387126
498,0.005821751430630684
499,0.005903922021389008
